MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow,Precipitation
8.0,24.3,NW,30.0,29,1015.0,23.6,Yes,18.7
14.0,26.9,ENE,39.0,36,1008.4,25.7,Yes,47.5
13.7,23.4,NW,85.0,69,1007.2,20.2,Yes,36.6
13.3,15.5,NW,54.0,56,1007.0,14.1,Yes,29.9
7.6,16.1,SSE,50.0,49,1018.5,15.4,No,7.8
6.2,16.9,SE,44.0,57,1021.7,14.8,No,7.8
6.1,18.2,SE,43.0,47,1022.2,17.3,No,2.9
8.3,17.0,E,41.0,57,1024.2,15.5,No,43.3
8.8,19.5,S,48.0,48,1022.7,18.9,Yes,30.1
8.4,22.8,E,31.0,32,1020.7,21.7,No,35.4
9.1,25.2,N,30.0,34,1021.1,24.0,No,1.0
8.5,27.3,E,41.0,35,1019.9,26.0,No,48.5
10.1,27.9,WNW,30.0,29,1017.1,27.1,No,41.6
12.1,30.9,NW,44.0,20,1013.1,30.7,No,10.6
10.1,31.2,NW,41.0,16,1013.7,30.4,No,9.1
12.4,32.1,E,46.0,22,1012.8,30.7,No,9.2
13.8,31.2,ESE,44.0,23,1009.8,29.8,Yes,15.2
11.7,30.0,S,52.0,26,1013.0,28.6,No,26.2
12.4,32.3,E,39.0,25,1013.3,31.2,No,21.6
15.6,33.4,NE,33.0,27,1013.7,32.0,No,14.6
15.3,33.4,WNW,59.0,26,1006.5,32.8,No,30.6
16.4,19.4,E,26.0,72,1008.9,18.3,Yes,7.0
12.8,18.5,ESE,28.0,79,1014.9,16.8,No,14.6
12.0,24.3,NNE,26.0,57,1019.2,22.8,No,18.3
15.4,28.4,ENE,33.0,31,1018.6,27.3,No,22.8
15.6,26.9,E,41.0,48,1016.5,25.1,No,39.3
13.3,22.2,ENE,39.0,55,1018.6,21.2,No,10.0
12.9,28.0,S,52.0,31,1014.8,26.7,No,25.7
15.1,24.3,SE,39.0,80,1017.1,19.7,No,29.6
13.6,24.1,NNW,30.0,49,1013.3,23.2,Yes,2.3
15.1,20.4,SSE,41.0,90,1014.1,16.3,Yes,30.4
11.6,26.3,NNE,41.0,46,1009.5,25.2,No,8.5
16.6,24.2,NW,50.0,60,1004.6,19.9,Yes,3.3
13.3,26.5,NW,50.0,40,1006.3,25.1,No,47.4
14.5,21.8,ENE,43.0,63,1015.3,20.5,No,48.3
16.3,26.8,ENE,39.0,54,1016.1,24.5,No,40.4
17.2,25.8,SW,41.0,74,1011.5,22.6,Yes,15.2
16.5,28.2,NE,39.0,42,1011.4,26.3,No,4.9
15.0,29.4,NW,43.0,24,1008.5,28.6,No,34.2
14.9,24.8,NNW,35.0,37,1010.4,22.9,No,22.0
11.8,18.5,ENE,35.0,63,1017.4,16.4,No,6.1
11.7,21.5,ENE,41.0,51,1019.6,19.4,No,24.8
9.6,20.3,SE,39.0,49,1019.3,19.2,No,1.7
8.9,27.1,E,35.0,37,1012.5,25.0,No,45.5
10.1,29.9,E,41.0,36,1010.2,29.1,Yes,12.9
15.5,21.1,S,31.0,86,1008.6,20.0,Yes,33.1
10.8,21.7,ESE,48.0,40,1016.8,20.8,No,15.6
7.5,20.9,ENE,39.0,43,1018.3,19.8,No,26.0
12.8,21.0,NE,22.0,54,1015.6,20.0,Yes,27.3
12.6,23.1,NNW,30.0,74,1014.1,20.4,Yes,9.2
14.8,29.5,N,41.0,48,1008.3,28.2,Yes,48.5
19.9,22.0,NNW,76.0,62,996.8,19.6,Yes,38.8
9.2,20.4,ENE,39.0,49,1009.1,18.8,No,47.0
12.4,24.4,NW,44.0,43,1009.7,22.5,Yes,44.7
11.3,21.7,E,41.0,52,1019.1,21.0,No,29.9
9.8,26.3,NNW,41.0,35,1018.0,23.9,No,46.1
14.3,26.7,NNW,65.0,64,1014.3,19.0,Yes,4.4
15.1,28.3,NNW,28.0,44,1013.4,27.4,No,9.8
14.4,31.6,NNW,30.0,30,1014.2,30.3,No,2.3
15.4,35.0,E,39.0,18,1015.0,34.3,No,16.3
13.8,33.5,NE,31.0,20,1015.6,32.2,No,19.4
13.6,34.2,NNE,35.0,20,1011.6,31.8,No,13.6
14.3,35.0,ESE,41.0,14,1008.7,33.6,No,41.4
15.9,23.4,ESE,50.0,55,1016.3,22.3,No,17.8
16.7,25.3,ESE,46.0,45,1013.0,23.9,No,14.0
12.1,27.5,NE,35.0,40,1007.4,26.8,No,27.1
14.3,34.1,ENE,39.0,34,1003.3,31.9,No,7.0
16.5,33.9,ENE,39.0,36,1009.5,31.3,No,40.1
16.5,30.3,E,46.0,44,1013.4,28.0,No,3.7
17.5,29.9,E,43.0,45,1015.9,27.9,No,49.3
14.7,34.2,NE,33.0,25,1013.3,32.2,No,38.6
17.5,35.8,SSE,57.0,24,1006.5,34.5,No,9.9
20.9,35.7,SW,50.0,28,1003.0,34.0,Yes,0.3
17.0,33.8,WNW,52.0,35,1001.8,31.8,No,40.8
16.0,22.8,E,50.0,57,1012.3,21.6,No,35.3
15.4,33.8,W,35.0,26,1009.0,31.7,No,36.5
17.9,33.2,N,59.0,62,1006.1,23.5,Yes,38.6
15.2,25.1,E,46.0,42,1015.0,23.9,No,3.7
15.1,20.4,ESE,39.0,55,1015.8,19.4,Yes,17.9
15.3,19.6,NE,33.0,88,1006.0,18.6,Yes,5.8
17.2,24.7,NW,50.0,71,1004.0,21.9,No,43.2
15.9,19.9,E,48.0,58,1012.1,18.6,No,31.2
10.0,22.5,E,33.0,46,1016.8,22.2,No,16.5
9.9,24.4,NE,28.0,38,1019.2,22.7,No,3.2
10.3,27.8,ENE,35.0,29,1018.1,26.3,No,15.5
15.4,25.7,E,41.0,32,1016.9,24.6,No,16.3
12.7,28.8,NNE,28.0,28,1012.4,28.3,No,36.5
13.2,31.3,WSW,46.0,28,1009.5,30.7,No,31.9
15.3,33.2,NNW,44.0,18,1012.0,32.1,No,44.4
17.9,33.9,ENE,46.0,22,1014.6,32.3,No,23.6
18.0,34.9,NW,69.0,29,1013.7,33.1,Yes,6.0
17.6,27.8,ESE,39.0,49,1012.8,26.3,Yes,35.7
16.0,23.8,SSE,30.0,49,1017.1,22.9,No,38.0
14.9,28.8,NNE,30.0,44,1014.5,27.0,No,28.1
17.1,29.6,E,48.0,38,1012.8,29.1,Yes,38.5
18.2,22.6,ENE,33.0,76,1011.5,22.1,Yes,24.7
16.8,22.8,ESE,30.0,71,1007.8,21.5,No,26.1
13.6,27.4,W,52.0,41,997.5,26.5,No,21.4
14.5,24.2,SSW,61.0,76,998.9,20.3,Yes,1.3
12.4,19.9,ENE,41.0,58,1005.0,18.7,No,5.4
10.4,20.9,SSE,33.0,51,1006.8,18.7,No,1.6
9.1,23.1,ENE,41.0,37,1011.4,21.4,No,31.8
8.9,26.0,NE,31.0,34,1011.7,24.2,Yes,15.7
14.5,24.2,W,48.0,60,1006.8,22.6,Yes,25.4
12.6,18.2,ENE,30.0,73,1011.0,16.8,No,45.4
8.6,24.2,E,33.0,37,1015.1,22.0,No,12.5
10.8,25.2,ENE,35.0,32,1016.7,24.3,No,20.5
11.2,26.1,ENE,39.0,40,1020.0,24.7,No,37.8
12.1,24.1,ENE,46.0,46,1021.4,22.5,No,11.4
10.8,25.8,E,31.0,42,1017.4,24.1,No,3.8
11.4,27.1,NE,33.0,38,1012.8,26.1,No,14.5
12.0,28.9,ESE,39.0,31,1009.1,28.6,Yes,8.1
16.3,24.8,S,50.0,56,1008.4,24.0,Yes,46.5
12.7,28.6,W,50.0,42,1002.3,27.4,No,40.4
12.7,25.1,NW,46.0,32,1005.4,24.5,No,31.7
12.0,23.8,NW,44.0,34,1007.2,22.9,No,43.6
11.5,25.9,ENE,44.0,35,1014.3,24.3,No,40.2
13.0,28.2,NW,44.0,27,1014.4,27.0,No,9.3
11.7,27.6,W,48.0,25,1009.1,26.8,No,44.6
14.8,17.3,SSE,48.0,78,1009.9,15.3,Yes,27.0
7.7,18.4,S,48.0,34,1014.5,16.8,No,40.4
4.4,21.8,S,35.0,31,1019.3,20.0,No,44.8
7.4,24.4,E,35.0,37,1023.2,22.1,No,15.9
8.3,27.3,E,35.0,28,1020.4,25.5,No,5.5
10.1,28.2,ESE,39.0,28,1018.2,27.0,No,11.4
12.0,27.6,E,46.0,35,1022.2,26.2,No,21.4
12.9,31.8,WSW,41.0,24,1019.3,30.0,No,40.9
10.8,29.2,E,50.0,34,1017.7,27.7,Yes,43.0
9.5,27.4,NNW,24.0,39,1020.7,24.9,No,0.3
12.1,27.8,E,41.0,33,1023.1,27.0,No,25.5
12.5,31.7,WNW,24.0,28,1020.4,30.1,No,20.9
13.9,34.7,SSW,46.0,18,1019.3,32.7,No,11.1
13.3,31.7,WNW,44.0,23,1017.6,30.7,No,6.0
13.2,33.1,ENE,39.0,18,1017.7,31.7,No,16.9
12.3,33.8,W,22.0,15,1019.1,32.7,No,47.1
13.8,35.2,SE,48.0,15,1019.3,34.1,No,16.2
11.3,32.3,NE,28.0,17,1020.7,30.5,No,25.9
11.7,30.2,NE,33.0,22,1020.6,28.8,No,35.2
12.5,29.9,NW,43.0,30,1018.8,29.2,No,18.2
15.1,26.2,NE,31.0,48,1018.7,24.5,No,48.6
11.5,29.3,NW,46.0,35,1009.4,27.6,No,48.1
13.0,14.8,SE,30.0,62,1019.3,13.9,No,12.6
11.6,19.6,E,33.0,64,1021.8,17.9,No,24.9
12.8,24.9,ENE,30.0,44,1019.3,24.2,No,15.0
15.5,22.4,NW,28.0,68,1015.4,21.1,Yes,14.2
13.1,17.4,NNW,43.0,93,1006.5,16.6,Yes,1.8
12.6,20.2,W,46.0,50,1008.4,17.4,No,30.5
4.4,18.3,N,33.0,36,1012.6,17.4,No,25.1
4.4,18.2,W,31.0,35,1015.0,17.2,No,2.6
7.1,18.5,NW,57.0,30,1011.3,18.2,No,13.9
4.2,18.9,WNW,50.0,34,1009.3,18.1,No,45.4
9.6,18.8,WNW,57.0,42,1013.0,16.5,No,12.0
3.5,21.8,NNW,22.0,34,1021.2,21.2,No,7.2
5.3,23.3,NNW,83.0,26,1010.5,22.5,Yes,24.5
7.0,14.3,WNW,63.0,40,1012.7,13.7,No,49.3
0.4,18.9,N,22.0,33,1019.1,17.6,No,12.1
3.2,21.4,E,26.0,27,1022.3,20.5,No,33.6
5.9,21.8,E,35.0,35,1024.1,20.8,No,38.1
8.1,20.5,ENE,31.0,48,1024.0,19.5,No,11.9
6.9,18.9,ESE,39.0,45,1025.4,17.8,No,36.4
5.6,19.5,SW,17.0,49,1021.8,18.6,No,18.4
7.2,22.9,E,26.0,28,1019.2,22.2,No,31.6
7.1,23.4,ESE,39.0,29,1016.9,22.4,No,31.7
6.1,24.1,WNW,35.0,32,1015.8,23.7,Yes,26.8
7.1,19.8,W,39.0,56,1013.8,19.1,Yes,4.5
5.6,18.0,S,31.0,40,1019.6,17.9,No,41.8
5.4,20.7,SSE,28.0,36,1023.9,20.4,No,16.0
6.3,19.3,S,31.0,39,1024.4,18.8,No,9.3
5.3,21.0,WNW,26.0,44,1023.3,20.4,No,2.0
7.9,19.7,ESE,48.0,43,1024.1,19.1,No,29.5
8.4,16.1,SE,35.0,51,1027.4,15.2,No,33.9
8.1,18.7,ESE,33.0,65,1024.2,15.6,No,0.8
2.4,20.6,E,30.0,34,1021.0,19.8,No,25.6
5.6,18.9,SE,33.0,49,1023.5,17.7,No,11.3
7.5,19.0,ENE,26.0,43,1022.2,18.1,No,32.3
2.5,21.2,NE,28.0,55,1019.8,17.6,No,8.7
5.0,20.9,WNW,22.0,42,1014.3,20.6,No,34.5
3.8,21.7,NW,44.0,34,1006.7,20.2,No,19.3
7.9,18.7,NW,59.0,51,997.7,16.6,Yes,46.8
4.3,11.3,W,57.0,60,1008.1,8.8,No,6.9
-2.1,13.8,NNW,22.0,40,1019.6,13.2,No,17.1
-1.8,14.8,N,28.0,40,1020.5,13.9,No,5.7
3.8,13.8,WNW,31.0,54,1018.5,12.4,No,46.2
2.1,17.3,W,43.0,38,1017.3,15.9,No,43.9
0.5,17.1,NW,31.0,42,1017.4,16.2,No,12.9
-0.9,16.7,NNW,30.0,42,1018.5,15.4,No,33.0
0.4,19.0,NW,39.0,41,1015.8,18.5,No,40.9
7.5,16.8,NW,41.0,53,1013.8,15.4,No,27.8
8.3,17.6,WNW,43.0,43,1013.5,16.5,No,26.5
-0.2,18.1,NW,24.0,44,1018.9,16.9,No,12.1
0.1,21.0,NNW,17.0,36,1020.3,20.7,No,4.7
1.5,20.9,NW,20.0,41,1020.0,20.9,No,44.9
8.3,17.4,E,20.0,52,1021.5,17.2,No,45.0
9.4,19.2,,24.0,47,1020.3,18.8,No,31.7
1.3,19.0,NNW,30.0,34,1021.4,18.6,No,17.0
2.2,18.6,NNW,31.0,44,1021.0,17.8,No,17.5
-0.4,17.9,NW,33.0,40,1018.7,17.7,Yes,36.3
4.5,16.0,NW,35.0,69,1013.7,15.2,No,44.9
7.9,12.3,NW,52.0,78,1005.9,7.3,No,44.4
4.3,14.1,NW,41.0,53,1008.3,13.3,No,39.0
-2.7,18.1,W,52.0,36,1014.3,16.7,No,32.1
0.3,17.0,WNW,31.0,52,1018.6,16.2,No,4.2
3.8,17.4,E,24.0,47,1022.9,16.6,No,8.1
2.4,14.7,ESE,20.0,43,1026.0,13.8,No,44.9
1.2,14.8,SE,17.0,49,1024.8,14.5,No,30.3
1.2,14.5,SE,17.0,43,1023.5,13.9,No,0.5
-0.3,17.5,W,39.0,48,1021.8,17.2,Yes,5.1
4.7,18.5,ESE,22.0,50,1023.1,17.9,Yes,33.2
4.9,18.1,NNW,22.0,55,1022.3,17.7,No,0.3
1.4,16.8,NW,20.0,50,1024.7,16.3,No,8.0
2.2,17.5,NW,20.0,45,1029.6,17.3,No,27.4
-0.1,18.0,,,46,1028.7,17.4,No,34.6
-0.9,18.5,E,22.0,38,1027.4,18.2,No,32.6
0.6,14.0,NE,17.0,67,1028.9,13.9,No,11.2
4.6,15.7,NNE,15.0,67,1027.1,15.5,No,35.6
9.8,14.4,ESE,20.0,86,1027.2,13.6,Yes,11.9
10.6,15.1,SSE,41.0,65,1025.7,13.3,No,16.3
7.8,15.1,S,31.0,65,1023.4,14.8,No,37.3
4.4,16.7,S,22.0,42,1022.1,16.2,No,32.5
-0.2,15.5,NE,28.0,42,1027.0,14.5,No,42.5
4.3,14.5,E,30.0,70,1031.7,13.0,No,32.9
7.4,16.3,NNE,30.0,65,1027.9,14.5,Yes,28.4
8.6,13.7,NW,31.0,94,1024.3,11.6,Yes,4.7
10.2,15.0,NW,46.0,65,1022.1,13.7,No,18.4
7.3,16.4,NW,43.0,48,1019.7,14.7,No,13.3
8.7,13.0,WNW,54.0,58,1014.1,11.1,No,12.2
1.0,11.8,S,48.0,49,1025.6,11.0,No,48.7
2.1,14.7,S,43.0,57,1026.3,13.8,No,19.7
6.4,16.9,SSW,26.0,51,1024.8,16.0,No,44.6
5.4,15.5,NNE,20.0,58,1025.5,14.9,No,31.6
0.4,15.5,N,13.0,70,1023.5,15.0,No,39.7
4.0,15.9,NNW,17.0,63,1019.7,14.8,Yes,25.1
8.4,11.7,W,26.0,86,1019.2,11.3,No,28.8
0.4,13.9,WNW,41.0,59,1021.0,12.1,No,24.6
4.2,14.0,NW,33.0,44,1025.7,12.5,No,9.8
0.9,12.9,NW,24.0,53,1022.1,12.3,No,36.1
0.8,13.0,WNW,41.0,69,1024.2,11.7,No,14.0
4.3,12.6,NW,46.0,54,1021.9,11.3,No,1.2
6.3,11.8,WNW,63.0,48,1020.4,11.5,No,32.3
3.5,14.3,NNW,35.0,51,1025.0,12.7,No,8.9
-1.5,14.8,NW,15.0,41,1026.0,14.5,No,47.0
1.2,16.0,NNW,31.0,38,1020.9,14.6,No,47.7
0.5,15.4,W,70.0,68,1010.2,12.9,Yes,45.7
5.3,11.7,NW,78.0,56,1012.3,11.1,No,18.5
6.6,13.1,WNW,61.0,53,1014.0,12.3,No,0.8
-1.6,11.5,N,31.0,53,1021.9,11.1,No,46.4
-3.1,12.0,ESE,35.0,52,1030.0,10.2,No,21.4
-0.1,14.2,W,13.0,55,1028.9,12.6,No,48.3
-0.6,14.0,NW,41.0,59,1026.3,13.6,No,48.2
3.0,11.1,W,35.0,96,1021.1,8.6,Yes,42.7
2.9,9.5,NW,35.0,72,1019.6,7.4,No,14.7
-1.3,8.8,WNW,39.0,68,1016.8,8.0,No,19.3
1.8,8.7,NW,65.0,85,1010.5,6.9,Yes,42.6
2.9,8.4,NW,59.0,66,1018.2,7.1,No,15.8
-2.6,11.1,N,20.0,54,1022.7,9.9,No,8.5
0.5,11.0,NNW,31.0,69,1021.9,10.7,No,27.8
2.7,16.5,NNW,41.0,51,1019.0,15.9,No,46.8
-1.7,13.6,NNW,28.0,46,1020.1,13.3,No,34.8
-0.9,12.8,N,17.0,62,1020.8,12.1,No,28.5
-1.8,11.5,NNW,41.0,55,1013.9,11.0,No,4.9
1.3,10.6,NW,46.0,73,1009.4,8.2,Yes,30.8
2.4,11.6,NW,35.0,48,1014.9,10.7,No,49.5
-1.1,11.0,WNW,41.0,87,1009.0,8.7,Yes,7.0
2.3,11.6,WNW,54.0,56,1010.3,11.2,No,25.9
-2.2,11.6,S,39.0,33,1025.8,11.0,No,43.9
-3.5,11.2,ESE,26.0,48,1031.1,10.1,No,37.0
-1.0,12.2,ESE,30.0,51,1027.4,10.8,No,34.9
-2.1,12.9,S,31.0,25,1020.9,12.3,No,35.1
-2.0,11.3,WNW,33.0,50,1015.3,10.9,No,18.0
-2.3,9.7,SSE,28.0,66,1010.0,7.8,Yes,14.7
-1.6,10.7,S,59.0,56,1014.9,9.6,No,40.5
0.8,12.2,,,49,1016.8,11.2,No,40.5
-2.8,12.2,NNW,31.0,48,1014.6,11.5,No,43.4
-2.8,14.1,WNW,48.0,38,1012.9,12.8,No,45.7
3.0,9.7,W,65.0,82,1001.3,8.6,Yes,25.6
4.4,11.5,WNW,57.0,56,1014.9,10.5,No,25.1
2.3,12.8,WNW,35.0,48,1018.1,11.6,No,39.9
-2.0,12.3,W,31.0,60,1018.3,9.1,No,32.5
-1.9,10.9,S,50.0,72,1019.2,7.2,Yes,35.1
4.8,14.1,S,48.0,48,1017.6,13.6,No,39.8
-0.6,11.1,NNW,41.0,78,1015.9,5.7,Yes,44.5
3.1,12.5,N,43.0,62,1019.1,11.3,No,16.9
-2.9,9.6,NW,43.0,70,1019.0,8.1,No,18.8
-3.5,7.6,NW,50.0,68,1012.6,5.1,No,4.7
-0.3,9.3,N,39.0,60,1016.6,8.3,No,28.9
0.1,10.4,WNW,59.0,63,1020.1,8.6,No,1.8
2.3,12.2,WNW,44.0,41,1022.4,10.4,No,23.3
2.1,10.7,NW,59.0,45,1018.2,9.5,No,27.1
4.6,14.7,WNW,52.0,51,1012.4,12.0,No,14.3
3.7,14.2,NNW,46.0,27,1011.8,13.5,No,29.5
-1.3,11.6,N,30.0,35,1022.0,10.8,No,1.5
-3.4,12.5,SSE,48.0,30,1021.8,11.2,No,1.9
-5.3,13.1,NW,33.0,47,1025.6,12.2,No,41.1
0.0,14.0,WNW,39.0,36,1024.4,12.4,No,18.0
2.4,14.1,NW,46.0,27,1017.8,13.2,No,6.4
-0.6,12.2,S,59.0,44,1016.8,10.7,No,26.1
2.3,11.6,S,54.0,38,1025.5,11.1,No,38.5
-3.7,14.4,NNW,22.0,28,1028.0,14.0,No,10.8
-0.9,14.2,WNW,31.0,34,1024.4,12.8,No,31.1
-1.5,17.3,NW,48.0,23,1020.3,15.8,No,4.3
-3.3,15.1,SSW,30.0,23,1025.5,14.4,No,2.6
-0.1,14.7,ENE,30.0,43,1025.9,12.3,No,26.6
-0.2,16.2,E,28.0,45,1022.9,14.6,No,27.0
0.5,16.3,NNW,39.0,45,1017.5,15.4,Yes,31.9
6.1,17.2,NW,59.0,85,1010.4,12.6,Yes,36.3
4.1,14.8,NW,46.0,34,1021.7,14.3,No,48.8
0.1,16.7,WNW,28.0,44,1024.8,14.9,No,25.8
3.2,12.1,ESE,41.0,51,1033.2,11.1,No,16.1
5.4,11.3,ENE,35.0,61,1031.9,10.2,No,39.8
5.8,12.4,SE,26.0,73,1023.5,10.8,No,13.5
6.3,16.1,S,35.0,33,1016.2,15.7,No,21.9
-0.9,16.7,NW,35.0,33,1013.9,15.5,No,3.9
0.2,15.5,SE,31.0,37,1018.2,15.3,No,1.3
-3.7,14.7,SSE,43.0,25,1020.9,13.4,No,48.1
-2.7,15.2,N,30.0,35,1017.9,14.9,No,41.8
-2.5,16.6,NW,31.0,20,1013.9,16.3,No,34.8
-0.5,21.6,NW,48.0,27,1010.9,21.5,No,20.4
9.0,25.5,NW,50.0,31,1011.4,25.1,Yes,8.7
13.1,19.4,NNW,67.0,43,1006.0,18.2,Yes,7.8
8.7,19.7,NW,98.0,33,1001.5,18.5,Yes,12.5
3.9,13.2,WNW,65.0,33,1017.6,12.2,No,27.5
0.7,14.1,ENE,20.0,43,1022.1,13.7,No,35.7
1.1,18.0,NNW,39.0,36,1015.6,17.8,No,33.0
5.1,23.3,NW,44.0,30,1011.7,22.4,No,14.0
7.5,23.3,WNW,65.0,15,1010.9,21.3,No,47.7
4.7,19.5,NNW,46.0,25,1015.1,18.3,No,36.9
3.2,21.9,NW,80.0,50,1006.5,21.0,Yes,27.7
7.8,16.2,NW,50.0,44,1017.8,14.3,No,30.6
2.4,17.3,E,31.0,33,1027.7,16.5,No,21.0
3.2,18.7,N,31.0,32,1026.9,18.1,No,12.4
2.5,20.9,NNW,44.0,35,1020.6,20.0,No,17.8
6.5,25.7,NNW,50.0,25,1016.4,24.7,No,37.9
14.4,24.3,WNW,52.0,25,1009.9,23.0,No,0.7
4.9,18.9,NW,44.0,32,1013.9,16.0,No,5.8
2.3,16.8,N,41.0,34,1017.0,16.3,No,2.3
1.4,20.6,N,46.0,16,1015.4,19.5,No,2.0
5.6,27.6,NW,46.0,21,1014.1,26.7,No,42.8
16.8,28.9,NNW,70.0,22,1011.8,28.4,Yes,35.2
14.4,20.7,NNW,33.0,65,1013.2,19.3,Yes,23.7
10.3,21.3,NNW,43.0,46,1013.6,19.8,No,4.9
11.2,18.0,W,65.0,40,1005.3,16.2,Yes,24.6
0.3,16.0,NW,57.0,45,1013.3,14.6,No,23.7
0.5,17.9,N,44.0,33,1017.5,16.6,No,8.7
0.5,20.0,NNW,31.0,22,1024.2,18.8,No,21.7
4.6,22.0,N,41.0,25,1024.9,21.4,No,19.9
8.2,22.4,NW,31.0,30,1023.8,20.6,No,30.8
4.5,23.9,NW,30.0,27,1021.5,22.3,No,31.8
6.7,26.1,SSW,70.0,47,1016.0,23.2,Yes,2.3
11.9,21.1,NW,41.0,61,1016.7,19.4,No,18.7
9.2,19.6,ENE,31.0,42,1019.7,18.4,No,31.3
4.4,21.0,NW,28.0,30,1022.3,19.2,No,25.2
5.0,24.1,NNW,52.0,34,1020.7,21.9,No,42.8
6.7,24.7,NW,43.0,31,1022.2,23.7,No,32.9
8.3,28.5,NW,46.0,30,1019.8,27.4,No,8.1
11.3,27.4,NW,52.0,20,1017.5,26.3,No,3.5
9.0,20.6,ENE,39.0,28,1018.6,18.5,No,32.1
3.4,15.0,S,70.0,24,1023.1,14.3,No,1.3
3.2,18.0,SSE,48.0,25,1022.8,16.3,No,29.3
0.9,20.7,NNW,39.0,29,1018.4,19.1,No,47.0
3.3,25.5,N,43.0,16,1014.6,24.8,No,28.8
7.9,26.1,NNW,43.0,20,1014.2,25.9,No,19.4
9.0,30.7,NNW,76.0,15,1010.8,30.0,No,32.2
7.1,28.4,N,48.0,22,1016.9,28.2,No,22.9
12.5,19.9,ESE,43.0,47,1022.8,18.3,No,27.3
12.5,26.9,NW,46.0,39,1016.2,25.9,No,47.1
12.3,30.2,NW,78.0,13,1009.2,28.6,No,19.3
